state,city,Temp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
New York,Addison,High,33,36,44,58,69,77,81,79,72,60,49,36
New York,Addison,Low,14,16,22,32,41,51,56,55,48,37,29,20
New York,Albany,High,31,35,44,58,69,78,82,80,72,60,48,36
New York,Albany,Low,15,17,26,37,47,56,61,60,52,40,31,21
New York,Albion,High,32,35,44,57,69,78,82,80,73,60,48,37
New York,Albion,Low,18,19,26,37,47,57,62,60,54,43,34,24
New York,Alcove,High,31,34,43,56,67,75,80,78,71,59,48,36
New York,Alcove,Low,11,13,22,34,44,54,59,57,48,37,29,19
New York,Alfred,High,31,35,44,55,68,76,80,79,71,60,47,36
New York,Alfred,Low,13,14,22,28,42,52,56,54,47,37,28,19
New York,Angelica,High,33,36,45,58,69,76,80,78,71,60,48,37
New York,Angelica,Low,12,12,19,29,39,49,53,52,44,34,28,18
New York,Arcade,High,31,33,43,56,68,76,80,78,71,59,46,35
New York,Arcade,Low,14,15,23,33,42,51,56,54,48,38,31,20
New York,Ardsley,High,38,42,51,62,72,81,85,83,76,65,54,43
New York,Ardsley,Low,22,24,30,39,49,58,63,62,55,44,36,27
New York,Auburn,High,31,34,43,56,69,78,82,80,72,60,48,36
New York,Auburn,Low,15,15,23,34,44,55,60,58,50,40,31,22
New York,Aurora,High,32,34,42,56,68,77,81,80,73,60,48,37
New York,Aurora,Low,17,18,25,37,47,57,61,59,52,42,34,24
New York,Avon,High,32,35,43,56,68,77,82,80,73,61,49,37
New York,Avon,Low,16,17,24,35,45,55,60,58,50,40,32,22
New York,Bainbridge,High,31,34,44,56,68,76,81,79,71,60,47,36
New York,Bainbridge,Low,11,12,21,32,42,51,55,55,47,36,28,19
New York,Batavia,High,32,35,44,58,69,78,81,80,73,61,49,37
New York,Batavia,Low,17,18,26,37,47,57,62,60,53,42,33,23
New York,Bath,High,32,35,43,57,69,77,81,80,73,60,48,36
New York,Bath,Low,13,14,20,32,41,51,55,54,46,36,29,19
New York,Beacon,High,35,39,47,59,71,80,84,83,75,63,51,40
New York,Beacon,Low,18,21,28,40,50,59,64,62,54,42,34,24
New York,Binghamton,High,29,32,41,54,65,74,78,76,68,57,45,33
New York,Binghamton,Low,16,17,25,36,46,55,60,58,51,40,31,21
New York,Bloomingburg,High,34,38,46,59,69,78,82,80,73,60,49,37
New York,Bloomingburg,Low,17,16,26,37,47,56,60,60,52,39,31,21
New York,Bolivar,High,31,34,44,56,68,76,79,78,70,60,47,36
New York,Bolivar,Low,11,11,21,31,40,49,53,53,45,34,28,18
New York,Boonville,High,24,28,36,51,63,71,75,74,66,54,42,30
New York,Boonville,Low,7,9,18,31,42,51,56,55,47,36,26,14
New York,Brewerton,High,30,33,42,55,67,76,81,79,71,59,47,37
New York,Brewerton,Low,12,13,22,34,45,54,58,57,48,40,31,21
New York,Bridgehampton,High,39,40,47,56,66,75,81,80,74,63,54,44
New York,Bridgehampton,Low,24,26,31,40,48,58,64,63,56,45,38,29
New York,Brockport,High,33,35,44,57,70,78,82,80,72,61,48,37
New York,Brockport,Low,16,17,25,35,46,55,61,59,52,41,32,22
New York,Buffalo,High,31,33,42,55,67,75,80,78,71,59,48,36
New York,Buffalo,Low,19,19,26,37,47,57,62,61,53,43,34,24
New York,Burdett,High,31,33,41,54,66,74,78,77,71,58,47,35
New York,Burdett,Low,14,16,22,33,42,52,56,54,47,37,30,20
New York,Cairo,High,32,35,45,57,69,78,82,80,72,61,49,37
New York,Cairo,Low,12,13,24,34,44,53,58,57,48,37,30,19
New York,Camden,High,28,31,40,54,67,75,80,78,71,58,46,33
New York,Camden,Low,9,10,19,33,42,52,56,55,47,37,29,18
New York,Canandaigua,High,33,35,43,56,67,77,81,79,72,60,49,38
New York,Canandaigua,Low,18,19,25,36,46,57,62,60,53,43,34,24
New York,Canton,High,26,30,39,53,66,74,79,77,70,57,45,32
New York,Canton,Low,5,8,19,33,44,54,58,56,48,37,28,15
New York,Carmel,High,34,38,46,58,70,76,80,79,72,61,50,39
New York,Carmel,Low,16,19,26,38,47,56,60,60,51,40,32,22
New York,Centerport,High,37,40,48,59,69,78,82,81,73,62,53,42
New York,Centerport,Low,24,26,31,41,50,60,66,65,59,48,39,29
New York,Chazy,High,27,29,40,54,68,76,80,78,69,57,44,32
New York,Chazy,Low,5,8,19,32,44,53,58,56,48,37,28,14
New York,Cherry Valley,High,29,31,40,53,67,74,78,76,69,58,45,34
New York,Cherry Valley,Low,11,13,22,33,44,53,58,56,49,38,29,18
New York,Cobleskill,High,30,33,41,55,67,75,79,78,70,58,47,35
New York,Cobleskill,Low,12,14,21,33,43,53,58,56,48,38,30,19
New York,Colden,High,30,32,42,54,67,75,79,77,70,59,46,35
New York,Colden,Low,13,13,21,32,42,52,56,55,48,38,30,20
New York,Collins,High,35,37,46,60,71,79,82,81,74,62,51,38
New York,Collins,Low,15,15,23,33,44,54,58,58,50,40,32,22
New York,Cooperstown,High,27,31,39,53,65,73,77,75,68,56,44,32
New York,Cooperstown,Low,14,15,23,35,45,54,58,57,50,39,31,21
New York,Copake,High,34,37,46,59,70,78,83,82,73,61,50,38
New York,Copake,Low,12,15,22,33,44,54,58,57,49,38,29,19
New York,Corning,High,28,32,42,55,66,74,78,76,68,57,44,32
New York,Corning,Low,11,13,19,30,40,50,54,53,46,35,26,17
New York,Cortland,High,31,33,42,54,68,76,81,79,71,59,46,35
New York,Cortland,Low,15,16,24,34,45,54,59,57,49,39,32,22
New York,Cuba,High,31,35,44,56,68,76,79,78,70,60,47,36
New York,Cuba,Low,11,13,20,31,40,49,54,53,46,34,28,18
New York,Dannemora,High,26,29,38,53,65,74,78,76,68,56,42,31
New York,Dannemora,Low,8,11,20,33,45,54,58,57,49,38,28,15
New York,Dansville,High,33,37,45,58,70,78,82,81,74,62,50,38
New York,Dansville,Low,16,17,24,35,45,55,59,57,50,39,32,22
New York,Delanson,High,29,33,41,55,67,75,80,78,71,58,47,35
New York,Delanson,Low,11,13,21,33,45,53,58,56,48,37,29,18
New York,Delhi,High,31,34,43,55,67,75,80,78,70,60,47,35
New York,Delhi,Low,11,12,22,32,42,51,54,53,46,35,28,18
New York,Deposit,High,32,35,45,58,70,77,81,79,71,60,48,36
New York,Deposit,Low,13,15,23,33,43,52,57,56,49,38,30,19
New York,Dobbs Ferry,High,38,42,51,62,72,81,85,83,76,65,54,43
New York,Dobbs Ferry,Low,22,24,30,39,49,58,63,62,55,44,36,27
New York,Downsville,High,32,36,44,56,67,76,81,79,71,61,49,36
New York,Downsville,Low,13,15,22,33,42,52,55,55,48,37,29,20
