STATELINK,CITYLINK,TYPE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALABAMA,ABBEVILLE,THEFTS,54,63,66,74,99,66,83,54,33,45,51,38
ALABAMA,ABBEVILLE,ASSAULTS,8,11,14,8,13,10,6,13,8,20,10,18
ALABAMA,ABBEVILLE,RAPES,0,3,0,0,3,1,1,1,1,0,1,1
ALABAMA,ABBEVILLE,ROBBERIES,0,1,0,0,1,0,1,2,0,0,2,3
ALABAMA,ABBEVILLE,BURGLARIES,15,14,19,16,35,23,16,21,18,19,12,16
ALABAMA,ABBEVILLE,ARSON,,,0,,,,,,,,1,
ALABAMA,ABBEVILLE,AUTO THEFTS,14,5,6,15,7,3,6,4,2,3,2,3
ALABAMA,ABBEVILLE,MURDERS,0,0,0,0,0,0,0,0,0,1,0,0
GEORGIA,ABBEVILLE,THEFTS,,,,,,,1,,3,,16,9
GEORGIA,ABBEVILLE,ASSAULTS,,,,,,,1,,4,,3,1
GEORGIA,ABBEVILLE,ROBBERIES,,,,,,,0,,0,,0,0
GEORGIA,ABBEVILLE,MURDERS,,,,,,,0,,0,,0,0
GEORGIA,ABBEVILLE,ARSON,,,,,,,,,0,,2,0
GEORGIA,ABBEVILLE,BURGLARIES,,,,,,,1,,5,,9,14
GEORGIA,ABBEVILLE,RAPES,,,,,,,0,,0,,3,2
GEORGIA,ABBEVILLE,AUTO THEFTS,,,,,,,0,,1,,4,0
LOUISIANA,ABBEVILLE,ARSON,,,,,,,,,,0,,
LOUISIANA,ABBEVILLE,AUTO THEFTS,,,,,,,,,,9,16,18
LOUISIANA,ABBEVILLE,RAPES,,,,,,,,,,5,4,3
LOUISIANA,ABBEVILLE,BURGLARIES,,,,,,,,,,160,182,191
LOUISIANA,ABBEVILLE,THEFTS,,,,,,,,,,259,324,332
LOUISIANA,ABBEVILLE,MURDERS,,,,,,,,,,1,2,6
LOUISIANA,ABBEVILLE,ASSAULTS,,,,,,,,,,103,83,90
LOUISIANA,ABBEVILLE,ROBBERIES,,,,,,,,,,14,17,19
SOUTH CAROLINA,ABBEVILLE,AUTO THEFTS,18,10,4,15,6,19,8,10,5,12,8,2
SOUTH CAROLINA,ABBEVILLE,THEFTS,262,263,263,198,162,200,130,111,149,169,108,143
SOUTH CAROLINA,ABBEVILLE,ASSAULTS,128,162,135,107,98,126,89,77,88,45,64,53
SOUTH CAROLINA,ABBEVILLE,RAPES,1,2,1,1,3,4,1,4,0,4,6,1
SOUTH CAROLINA,ABBEVILLE,MURDERS,0,0,0,0,0,3,1,0,0,0,0,0
SOUTH CAROLINA,ABBEVILLE,BURGLARIES,50,37,38,43,36,63,65,23,38,44,31,59
SOUTH CAROLINA,ABBEVILLE,ARSON,3,4,4,0,0,0,1,0,1,1,1,1
SOUTH CAROLINA,ABBEVILLE,ROBBERIES,7,5,7,4,3,6,2,2,4,4,1,5
IDAHO,ABERDEEN,THEFTS,18,11,15,10,12,6,8,6,4,2,3,12
IDAHO,ABERDEEN,ROBBERIES,0,0,0,0,0,0,0,0,1,0,0,0
IDAHO,ABERDEEN,RAPES,0,2,3,0,0,0,0,0,0,0,0,0
IDAHO,ABERDEEN,MURDERS,0,0,0,0,0,0,0,0,0,0,0,0
