STATE,CITY,STATECODE,YEAR,VICTIMS,OFFENDERS,RACE,OFFENCE_CODE,TYPE,VICTIMS_COUNT
 ALASKA,ANCHORAGE,AK,2012,1,1,W,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ALASKA,ANCHORAGE,AK,2012,1,1,A,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ALASKA,ANCHORAGE,AK,2012,1,2,W,13B,ANTI-AMERICAN INDIAN OR ALASKA NATIVE,0
 ALASKA,ANCHORAGE,AK,2012,1,2,B,13A,ANTI-WHITE,0
 ALASKA,ANCHORAGE,AK,2012,1,1,W,290,ANTI-ASIAN,0
 ALASKA,ANCHORAGE,AK,2012,1,1,U,09A,ANTI-ISLAMIC,0
 ALABAMA,HOOVER,AL,2012,1,1,B,13B,ANTI-HISPANIC OR LATINO,0
 ALABAMA,HOOVER,AL,2012,1,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ALABAMA,HOOVER,AL,2012,1,1,B,23H,ANTI-MULTI-RELIGIOUS,0
 ALABAMA,HOOVER,AL,2012,0,1,W,35A,ANTI-OTHER RELIGION,0
 ALABAMA,HOOVER,AL,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ALABAMA,HOOVER,AL,2012,0,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARKANSAS,BENTONVILLE,AR,2012,0,0,U,290,ANTI-MULTI-RELIGIOUS,0
 ARKANSAS,BENTONVILLE,AR,2012,0,0,U,290,ANTI-OTHER RELIGION,0
 ARKANSAS,ROGERS,AR,2012,1,1,W,13B,"ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER, MIXED GROUP (LGBT)",0
 ARKANSAS,JONESBORO,AR,2012,1,1,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARKANSAS,MCGEHEE,AR,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARKANSAS,CONWAY,AR,2012,1,1,W,13C,ANTI-MALE HOMOSEXUAL,0
 ARKANSAS,HOT SPRINGS,AR,2012,1,1,W,23D,ANTI-MENTAL DISABILITY,0
 ARKANSAS,HOT SPRINGS,AR,2012,1,1,U,220,ANTI-MENTAL DISABILITY,0
 ARKANSAS,HOT SPRINGS,AR,2012,1,1,W,13B,ANTI-MENTAL DISABILITY,0
 ARKANSAS,HOT SPRINGS,AR,2012,1,1,W,290,"ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER, MIXED GROUP (LGBT)",0
 ARKANSAS,HOT SPRINGS,AR,2012,1,1,W,13C,ANTI-MENTAL DISABILITY,0
 ARKANSAS,HOT SPRINGS,AR,2012,1,1,U,220,ANTI-MENTAL DISABILITY,0
 ARKANSAS,HOT SPRINGS,AR,2012,1,1,W,220,ANTI-MENTAL DISABILITY,0
 ARKANSAS,HOT SPRINGS,AR,2012,1,2,M,13C,ANTI-MENTAL DISABILITY,0
 ARKANSAS,HOT SPRINGS,AR,2012,1,1,U,290,ANTI-MENTAL DISABILITY,0
 ARKANSAS,PARAGOULD,AR,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARKANSAS,BATESVILLE,AR,2012,1,2,W,290,ANTI-HISPANIC OR LATINO,0
 ARKANSAS,NEWPORT,AR,2012,1,1,B,13B,ANTI-WHITE,0
 ARKANSAS,PINE BLUFF,AR,2012,1,1,U,23H,ANTI-CATHOLIC,0
 ARKANSAS,PINE BLUFF,AR,2012,1,1,B,36B,ANTI-HETEROSEXUAL,0
 ARKANSAS,PERRYVILLE,AR,2012,1,1,W,13A,ANTI-MENTAL DISABILITY,0
 ARKANSAS,PERRYVILLE,AR,2012,1,1,W,13C,ANTI-MENTAL DISABILITY,0
 ARKANSAS,PERRYVILLE,AR,2012,1,1,W,13A,ANTI-WHITE,0
 ARKANSAS,PERRYVILLE,AR,2012,1,1,W,13A,ANTI-WHITE,0
 ARKANSAS,PERRYVILLE,AR,2012,1,1,W,290,ANTI-WHITE,0
 ARKANSAS,PERRYVILLE,AR,2012,1,1,U,13C,ANTI-WHITE,0
