COUNTY,STATE,PER_CAPITA_INCOME,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_FAMILY_INCOME,POPULATION,NUMBER_OF_HOUSEHOLDS
NEW YORK,NEW YORK,62498,69659,84627,1605272,736192
ARLINGTON,VIRGINIA,62018,103208,139244,214861,94454
FALLS CHURCH,VIRGINIA,59088,120000,152857,12731,5020
MARIN,CALIFORNIA,56791,90839,117357,254643,102912
ALEXANDRIA,VIRGINIA,54608,85706,107511,143684,65369
PITKIN,COLORADO,51814,72745,93981,17173,7507
LOS ALAMOS,NEW MEXICO,51044,106686,124979,17979,7590
FAIRFAX,VIRGINIA,50532,110292,128596,1101071,389908
HUNTERDON,NEW JERSEY,50349,106143,125828,127047,46816
BORDEN,TEXAS,50042,71607,76250,649,225
MONTGOMERY,MARYLAND,49038,98221,117408,989474,360563
MORRIS,NEW JERSEY,48814,98633,117683,495261,179665
FAIRFIELD,CONNECTICUT,48721,82283,104250,926233,332655
SAN FRANCISCO,CALIFORNIA,48486,75604,90116,817501,345344
HOWARD,MARYLAND,48172,109865,128657,293821,106142
WESTCHESTER,NEW YORK,47984,81946,105341,956283,343561
SOMERSET,NEW JERSEY,47803,99020,117393,326207,115531
NANTUCKET,MASSACHUSETTS,47331,85478,92500,10224,4069
LOUDOUN,VIRGINIA,46565,122238,133550,326477,106997
NORTH SLOPE,ALASKA,46457,80761,82500,9484,1990
SAN MATEO,CALIFORNIA,45732,88202,105844,729543,257941
KALAWAO,HAWAII,45515,59375,88750,71,46
WASHINGTON,DISTRICT OF COLUMBIA,45290,65830,79665,619371,263649
GOOCHLAND,VIRGINIA,45039,80976,92042,21565,8058
NORFOLK,MASSACHUSETTS,44692,84916,108943,677296,257451
FAIRFAX,VIRGINIA,44345,97242,113538,23027,8492
DOUGLAS,COLORADO,43634,101591,112930,293014,103780
TETON,WYOMING,43444,68078,83558,21575,7583
BERGEN,NEW JERSEY,43347,83794,102222,912795,335422
MIDDLESEX,MASSACHUSETTS,42861,82090,104032,1522533,581120
MONMOUTH,NEW JERSEY,42749,84526,105971,629735,233909
SUMMIT,UTAH,42462,83336,95879,37232,13627
NASSAU,NEW YORK,42400,97690,112874,1343765,441955
MINERAL,COLORADO,42255,47083,68438,761,393
CHESTER,PENNSYLVANIA,42210,86050,105278,503075,184788
OZAUKEE,WISCONSIN,42041,75457,92262,86708,34108
CLEAR CREEK,COLORADO,41716,67259,89583,9048,4024
SANTA CLARA,CALIFORNIA,41513,91702,103983,1812208,609377
MONTGOMERY,PENNSYLVANIA,41472,79183,99587,804621,307488
WILLIAMSON,TENNESSEE,41292,89779,104796,188935,66364
SAN MIGUEL,COLORADO,40827,63594,77708,7496,3234
ANNE ARUNDEL,MARYLAND,40415,87430,101268,544426,199904
PUTNAM,NEW YORK,40309,95117,109188,99718,34496
NEWPORT,RHODE ISLAND,40293,71713,88962,82545,34774
DELAWARE,OHIO,40189,89757,103564,178139,64208
MIDDLESEX,CONNECTICUT,39992,76994,98501,165690,66141
KING,WASHINGTON,39911,71811,92510,1974567,802606
FAUQUIER,VIRGINIA,39600,88409,103556,66015,23130
HAMILTON,INDIANA,39521,82468,99768,282977,103234
EAGLE,COLORADO,39497,74456,86167,52151,17966
JAMES CITY,VIRGINIA,39133,76960,90406,68171,26883
BRISTOL,RHODE ISLAND,38893,71238,93131,49426,19174
JOHNSON,KANSAS,38827,74717,92512,552947,216304
CLARKE,VIRGINIA,38748,77597,95654,14191,5580
WILLIAMS,NORTH DAKOTA,38738,76210,86285,25024,10411
DUPAGE,ILLINOIS,38570,78487,95208,922803,336028
POQUOSON,VIRGINIA,38444,81892,98848,12117,4591
ROCKINGHAM,NEW HAMPSHIRE,38399,77348,93420,296718,116262
CALVERT,MARYLAND,38260,95477,107684,89332,30923
CONTRA COSTA,CALIFORNIA,38219,78756,94208,1065794,375855
QUEEN ANNE'S,MARYLAND,38108,87256,97909,48166,17292
GILPIN,COLORADO,38022,63885,87639,5477,2504
TALBOT,MARYLAND,38022,61597,74811,37859,16013
LAKE,ILLINOIS,38018,77469,92116,702099,241072
BOULDER,COLORADO,38011,67956,92667,301072,120521
BILLINGS,NORTH DAKOTA,37972,57083,69167,876,350
SUSSEX,NEW JERSEY,37949,87335,100066,147924,54746
COLLIN,TEXAS,37839,82762,97421,811308,289752
SAN JUAN,WASHINGTON,37719,53376,65067,15786,7753
LITCHFIELD,CONNECTICUT,37667,71338,87945,188629,75755
WAUKESHA,WISCONSIN,37577,75850,92974,391200,153422
JUNEAU,ALASKA,37558,81490,95112,31897,12099
HENNEPIN,MINNESOTA,37485,64403,84559,1170623,481263
BOONE,INDIANA,37482,67255,80907,58009,21908
BUCKS,PENNSYLVANIA,37466,76555,92907,625977,230366
MERCER,NEW JERSEY,37465,73480,94267,368094,130754
CARVER,MINNESOTA,37457,83773,96913,92770,33486
BROOMFIELD,COLORADO,37442,77998,96787,57171,22016
PRINCE WILLIAM,VIRGINIA,37401,98071,106544,416668,132442
CHARLES,MARYLAND,37277,93160,104078,148957,51247
ALBEMARLE,VIRGINIA,37239,67725,89889,100636,37964
SKAGWAY,ALASKA,37139,71667,77500,1080,412
BRISTOL BAY,ALASKA,37024,79531,96458,933,384
WASHINGTON,WASHINGTON,37023,72138,91532,126627,49430
SUFFOLK,NEW YORK,36945,87763,100652,1495803,497347
FREDERICK,MARYLAND,36917,84570,98259,236668,86337
ST. JOHNS,FLORIDA,36836,64876,80707,197115,75558
BURLINGTON,NEW JERSEY,36835,78446,94324,449964,164979
FULTON,GEORGIA,36757,56857,75658,948554,368184
WASHINGTON,MINNESOTA,36706,81540,94263,241315,88947
STAFFORD,VIRGINIA,36574,97110,106322,131885,42178
RAPPAHANNOCK,VIRGINIA,36505,56438,66773,7448,3261
OAKLAND,MICHIGAN,36458,65594,84182,1213406,486332
COLLIER,FLORIDA,36439,55843,65980,328209,122972
YORK,VIRGINIA,36373,82073,95392,65762,24071
HINSDALE,COLORADO,36365,56667,76000,809,388
DIVIDE,NORTH DAKOTA,36303,55057,69632,2155,1035
ANCHORAGE,ALASKA,36214,77454,90466,295237,105208
ROBERTS,TEXAS,36172,67321,83333,1030,374
UNION,SOUTH DAKOTA,36167,63468,74758,14575,5758
CARROLL,MARYLAND,36153,84790,100643,167261,59909
BARNSTABLE,MASSACHUSETTS,36142,60526,76311,215449,95398
JEFFERSON,COLORADO,36087,68984,84957,540669,219562
ELBERT,COLORADO,36077,82118,89653,23295,8240
ST. MARY'S,MARYLAND,36017,85672,95186,107079,37589
SUBLETTE,WYOMING,35944,77900,85885,10178,3502
DALLAS,IOWA,35844,73847,90092,69526,26262
KENDALL,TEXAS,35827,73410,86750,34951,12760
ALAMEDA,CALIFORNIA,35763,72112,88618,1535248,545071
BLAINE,IDAHO,35524,64042,76575,21294,9207
SCOTT,MINNESOTA,35467,86112,97693,132774,45630
HARFORD,MARYLAND,35425,80622,92642,246664,90708
FAYETTE,GEORGIA,35344,79977,91574,107105,37930
DENALI,ALASKA,35295,72500,99091,2020,716
PLYMOUTH,MASSACHUSETTS,35220,75092,90431,497386,179617
SARATOGA,NEW YORK,35176,69826,87058,221169,88460
ESSEX,MASSACHUSETTS,35167,67311,84185,750808,286008
PLATTE,MISSOURI,35143,67721,83110,90842,36781
UNION,NEW JERSEY,35089,68507,83164,540568,185483
PLACER,CALIFORNIA,34886,72725,87352,355924,132709
EL DORADO,CALIFORNIA,34884,69297,85253,180982,67885
ROUTT,COLORADO,34873,62002,74559,23409,9647
LINCOLN,SOUTH DAKOTA,34839,74751,85666,46693,17250
DAKOTA,MINNESOTA,34828,73732,88889,402306,154275
NAPA,CALIFORNIA,34795,70443,79700,137837,49431
ST. LOUIS,MISSOURI,34795,58910,75532,999725,403293
HARTFORD,CONNECTICUT,34698,64967,81805,895827,347874
ROCKWALL,TEXAS,34617,86119,92837,81020,26820
ROCKLAND,NEW YORK,34591,84951,99649,315069,98326
FORSYTH,GEORGIA,34582,86569,99573,182916,58080
ORANGE,NORTH CAROLINA,34465,55569,84770,136057,51403
GEAUGA,OHIO,34455,67663,81952,93610,34621
TOLLAND,CONNECTICUT,34392,80529,95996,152366,54327
HILLSBOROUGH,NEW HAMPSHIRE,34390,69829,84430,402017,154324
BALTIMORE,MARYLAND,34374,66486,81116,812261,313912
MIDDLESEX,NEW JERSEY,34345,79596,93519,817026,280988
YAKUTAT,ALASKA,34317,72500,80875,607,254
KING GEORGE,VIRGINIA,34234,81753,90752,24151,8314
PETERSBURG CENSUS AREA,ALASKA,34183,63934,84861,3806,1643
DOUGLAS,NEVADA,34123,60100,67597,47035,19455
FORT BEND,TEXAS,34084,85297,94931,608939,191406
OLMSTED,MINNESOTA,34073,66252,83250,146063,57262
LOVING,TEXAS,34068,68750,88438,87,33
ORANGE,CALIFORNIA,34057,75422,84765,3051771,995512
MARTIN,FLORIDA,34057,49846,68003,147786,59891
SUMMIT,COLORADO,34025,63697,79420,28091,11138
MONROE,FLORIDA,33974,53607,63550,74213,28503
DENTON,TEXAS,33855,74155,90086,687857,243394
CAMPBELL,WYOMING,33850,79488,84746,46901,17108
KENT,RHODE ISLAND,33814,62279,80038,165628,68880
MOUNTRAIL,NORTH DAKOTA,33803,68722,76282,8280,3069
OCONEE,GEORGIA,33801,75004,82625,33240,11485
DUNN,NORTH DAKOTA,33788,60500,76346,3786,1438
NEW LONDON,CONNECTICUT,33782,66583,82076,274090,107066
DANE,WISCONSIN,33712,61721,83509,496762,206982
MIDLAND,TEXAS,33672,62993,72635,142289,50644
LLANO,TEXAS,33634,44094,60285,19223,8519
COLUMBIA,NEW YORK,33613,57336,72649,62674,25280
DUTCHESS,NEW YORK,33594,72525,88777,297385,107830
OLDHAM,KENTUCKY,33591,83391,91587,60940,19532
WARREN,NEW JERSEY,33555,70912,85091,108150,41463
HANOVER,VIRGINIA,33540,75070,88604,100328,36927
STOREY,NEVADA,33472,61573,64173,3981,1843
DUKES,MASSACHUSETTS,33363,66288,82452,16739,5891
TOWNER,NORTH DAKOTA,33357,55521,67969,2285,1034
SHELBY,ALABAMA,33313,68770,82558,198366,74144
CHITTENDEN,VERMONT,33281,63989,83887,157637,62587
DENVER,COLORADO,33251,50313,63705,619297,266069
WASHTENAW,MICHIGAN,33231,59055,85115,348560,135800
TRAVIS,TEXAS,33206,58025,73951,1063248,411876
DELAWARE,PENNSYLVANIA,33179,64041,81523,559771,204771
WARREN,OHIO,33172,72487,85636,215274,76546
MADISON,MISSISSIPPI,33170,59904,73775,97151,36342
WAKE,NORTH CAROLINA,33166,66006,83568,929214,348627
GRAND ISLE,VERMONT,33159,59509,69722,6984,3023
HENRICO,VIRGINIA,33115,61048,75640,311314,123683
MCKENZIE,NORTH DAKOTA,33078,64866,77366,7377,2666
COBB,GEORGIA,33069,63920,78058,699235,261242
FOSTER,NORTH DAKOTA,33063,50677,68547,3355,1555
MADISON,MONTANA,33062,47762,61672,7702,3542
OURAY,COLORADO,33015,64601,72229,4475,1943
COMAL,TEXAS,32980,65839,77324,112083,41954
CAPE MAY,NEW JERSEY,32948,56494,74112,96684,42312
VENTURA,CALIFORNIA,32930,76544,86301,829017,267076
MONTGOMERY,TEXAS,32911,67766,79541,472162,163462
BURKE,NORTH DAKOTA,32908,53693,70096,2094,1007
WORCESTER,MARYLAND,32887,57952,68840,51479,20530
CUMBERLAND,MAINE,32880,57461,75432,283046,117359
BURLEIGH,NORTH DAKOTA,32876,61811,82235,83906,34703
COOK,MINNESOTA,32868,52215,59643,5195,2614
PALM BEACH,FLORIDA,32858,52432,64260,1339221,526007
SONOMA,CALIFORNIA,32835,63356,75896,487469,185660
SUFFOLK,MASSACHUSETTS,32835,53540,61449,735701,288240
CLACKAMAS,OREGON,32781,64352,76549,380532,146527
GREELEY,KANSAS,32650,52847,58875,1202,493
HUDSON,NEW JERSEY,32641,58442,62168,644605,243875
